,Player,Nation,Pos,Squad,Age,90s_played,Total_Tackle,Tackle_Won,Def3rd_Tackle,Mid3rd_Tackle,Att3rd_Tackle,Dribblers_Attemp_Tackle,Dribblers_Tackle_Won,Ball_Blocked,Shot_Blocked,Pass_Blocked,Intercept,Tackle_Intercept,Clearances,Eror
216,Darko Gyabi,eng ENG,FW,Leeds United,18,0.1,2,2,1,1,0,0,0,2,0,2,0,2,0,0
217,Erling Haaland,no NOR,FW,Manchester City,22,30.8,3,2,0,2,1,5,1,12,4,8,3,6,14,0
218,Lewis Hall,eng ENG,DF,Chelsea,17,7.3,23,12,19,4,0,22,15,8,0,8,11,34,11,1
219,Luke Harris,wls WAL,"MF,FW",Fulham,17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Jack Harrison,eng ENG,"FW,MF",Leeds United,25,30.1,41,17,5,15,21,52,12,47,2,45,22,63,25,0
221,Kai Havertz,de GER,"FW,MF",Chelsea,23,28.5,34,16,4,20,10,30,10,28,0,28,7,41,41,0
222,Jan Paul van Hecke,nl NED,DF,Brighton,22,3.3,8,6,3,4,1,5,5,8,5,3,6,14,9,0
223,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,12.6,20,9,7,8,5,19,6,18,2,16,5,25,5,0
224,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,18.0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
225,Jordan Henderson,eng ENG,MF,Liverpool,32,23.0,32,23,10,18,4,36,15,21,3,18,21,53,16,1
226,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,3.0,1,0,1,0,0,1,1,0,0,0,0,1,2,0
227,Rico Henry,eng ENG,DF,Brentford,25,36.0,57,31,20,28,9,41,22,29,8,21,30,87,84,1
228,Son Heung-min,kr KOR,"MF,FW",Tottenham,30,32.1,24,12,7,8,9,30,9,23,2,21,13,37,6,0
229,Aaron Hickey,sct SCO,DF,Brentford,20,21.3,38,26,27,11,0,32,18,18,7,11,17,55,32,1
230,Jack Hinshelwood,eng ENG,FW,Brighton,17,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
231,Joseph Hodge,ie IRL,MF,Wolves,19,1.9,5,2,1,3,1,4,3,5,0,5,0,5,2,1
232,Rob Holding,eng ENG,DF,Arsenal,26,6.3,8,5,4,4,0,6,3,6,5,1,3,11,27,1
233,Mason Holgate,eng ENG,DF,Everton,25,5.6,11,7,8,3,0,11,3,7,3,4,7,18,28,0
234,Will Hughes,eng ENG,MF,Crystal Palace,27,9.4,29,16,11,16,2,20,11,16,7,9,16,45,9,0
235,Omari Hutchinson,eng ENG,FW,Chelsea,18,0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
236,Pierre Højbjerg,dk DEN,MF,Tottenham,26,34.8,56,30,28,22,6,67,26,46,17,29,49,105,64,1
237,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,25,12.5,7,2,0,3,4,10,3,9,1,8,0,7,8,0
238,Danny Ings,eng ENG,FW,West Ham,30,8.6,9,8,0,4,5,14,5,8,2,6,3,12,5,0
239,Danny Ings,eng ENG,FW,Aston Villa,30,9.2,10,5,1,6,3,6,1,12,1,11,1,11,11,0
240,Alexander Isak,se SWE,FW,Newcastle Utd,22,16.9,18,8,4,7,7,28,10,21,2,19,4,22,8,0
241,Daniel Iversen,dk DEN,GK,Leicester City,25,12.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
242,Alex Iwobi,ng NGA,"MF,FW",Everton,26,37.5,69,37,37,28,4,65,33,41,2,39,25,94,29,0
243,Daniel James,wls WAL,FW,Leeds United,24,2.2,6,2,1,3,2,6,3,4,0,4,2,8,2,0
244,Daniel James,wls WAL,FW,Fulham,24,6.9,10,6,4,5,1,9,4,5,1,4,1,11,5,0
245,Reece James,eng ENG,"DF,MF",Chelsea,22,13.8,31,20,10,18,3,19,15,17,2,15,12,43,23,0
246,Vitaly Janelt,de GER,"MF,DF",Brentford,24,24.5,54,27,20,24,10,49,21,29,9,20,29,83,26,0
247,Pontus Jansson,se SWE,DF,Brentford,31,8.0,5,3,4,1,0,5,3,13,9,4,9,14,38,0
248,Mathias Jensen,dk DEN,MF,Brentford,26,31.1,70,35,28,30,12,97,34,54,5,49,32,102,24,1
249,Gabriel Jesus,br BRA,FW,Arsenal,25,22.9,33,25,16,8,9,31,15,27,3,24,11,44,15,1
250,Raúl Jiménez,mx MEX,FW,Wolves,31,9.4,9,6,3,5,1,6,3,9,0,9,0,9,8,0
251,Joelinton,br BRA,"MF,FW",Newcastle Utd,25,29.6,70,49,36,26,8,62,26,52,7,45,48,118,39,0
252,Ben Johnson,eng ENG,DF,West Ham,22,9.6,20,14,12,4,4,18,12,12,4,8,9,29,28,1
253,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21,32.6,34,20,18,8,8,28,8,30,1,29,5,39,7,1
254,Sam Johnstone,eng ENG,GK,Crystal Palace,29,9.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
255,Curtis Jones,eng ENG,MF,Liverpool,21,11.5,34,17,8,12,14,31,18,12,2,10,3,37,9,0
256,Jorginho,it ITA,MF,Arsenal,30,9.5,18,13,6,10,2,24,5,7,2,5,9,27,8,0
257,Jorginho,it ITA,MF,Chelsea,30,14.2,42,23,22,14,6,46,22,18,3,15,21,63,7,0
258,Mateo Joseph,eng ENG,"FW,MF",Leeds United,18,0.3,0,0,0,0,0,0,0,1,0,1,0,0,1,0
259,Diogo Jota,pt POR,FW,Liverpool,25,12.6,23,15,8,8,7,37,12,5,0,5,3,26,11,0
260,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22,4.7,17,11,5,9,3,18,6,9,0,9,2,19,1,0
261,James Justin,eng ENG,DF,Leicester City,24,13.9,20,18,7,12,1,14,9,24,6,18,15,35,47,0
262,Mathias Jørgensen,dk DEN,DF,Brentford,32,12.3,17,8,9,8,0,21,9,19,12,7,16,33,39,1
263,Sasa Kalajdzic,at AUT,FW,Wolves,25,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0
264,Boubacar Kamara,fr FRA,MF,Aston Villa,22,19.7,58,25,25,23,10,56,27,38,12,26,19,77,24,3
265,Harry Kane,eng ENG,FW,Tottenham,29,37.8,15,12,1,6,8,21,7,27,7,20,2,17,18,0
266,N'Golo Kanté,fr FRA,MF,Chelsea,31,5.8,16,10,4,10,2,8,4,11,0,11,6,22,2,0
267,Michael Keane,eng ENG,DF,Everton,29,10.9,7,4,5,2,0,8,5,12,7,5,14,21,55,1
268,Neeskens Kebano,cd COD,FW,Fulham,30,8.5,17,9,8,6,3,18,9,14,0,14,1,18,8,0
269,Thilo Kehrer,de GER,DF,West Ham,25,24.8,43,24,25,14,4,45,21,16,6,10,34,77,76,1
270,Naby Keïta,gn GUI,MF,Liverpool,27,3.3,5,4,2,3,0,4,1,1,0,1,2,7,3,0
271,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Lloyd Kelly,eng ENG,DF,Bournemouth,23,22.7,33,18,23,9,1,19,13,26,15,11,26,59,101,1
273,Max Kilman,eng ENG,DF,Wolves,25,36.7,36,20,26,9,1,30,16,70,42,28,19,55,164,1
274,Jakub Kiwior,pl POL,DF,Arsenal,22,4.7,7,5,6,1,0,8,5,5,3,2,6,13,10,0
275,Mateusz Klich,pl POL,"MF,FW",Leeds United,32,3.1,12,8,3,4,5,13,7,4,0,4,0,12,1,0
276,Robin Koch,de GER,DF,Leeds United,26,35.3,53,30,32,16,5,56,24,44,21,23,43,96,152,1
277,Ibrahima Konaté,fr FRA,DF,Liverpool,23,17.2,38,26,25,13,0,27,16,12,5,7,26,64,61,4
278,Ezri Konsa,eng ENG,DF,Aston Villa,24,36.9,42,20,25,15,2,26,18,41,23,18,26,68,120,3
279,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,20.0,45,31,34,8,3,40,26,30,13,17,29,74,77,0
280,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32,9.8,29,21,18,8,3,13,9,14,2,12,10,39,24,0
281,Mateo Kovačić,hr CRO,MF,Chelsea,28,19.0,36,24,16,14,6,36,14,10,1,9,19,55,16,0
282,Emil Krafth,se SWE,DF,Newcastle Utd,27,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,23.0,38,15,23,7,8,44,16,19,0,19,13,51,7,0
284,Layvin Kurzawa,fr FRA,DF,Fulham,29,1.5,3,2,1,1,1,3,3,1,1,0,2,5,4,0
285,Adam Lallana,eng ENG,"MF,FW",Brighton,34,8.0,9,4,6,2,1,7,0,6,0,6,2,11,1,0
286,Tariq Lamptey,gh GHA,DF,Brighton,21,5.0,11,6,6,4,1,7,5,7,3,4,7,18,2,0
287,Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,2.8,2,2,1,1,0,6,2,2,0,2,2,4,0,0
288,Aymeric Laporte,es ESP,DF,Manchester City,28,11.0,11,8,6,4,1,11,7,10,4,6,3,14,30,1
289,Juan Larios,es ESP,DF,Southampton,18,1.7,7,6,6,1,0,5,5,2,0,2,3,10,4,0
290,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,2.4,1,0,1,0,0,1,1,3,2,1,0,1,17,0
291,Roméo Lavia,be BEL,MF,Southampton,18,24.7,60,35,27,29,4,53,21,47,11,36,33,93,23,1
292,Dexter Lembikisa,jm JAM,DF,Wolves,18,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Mario Lemina,ga GAB,MF,Wolves,28,14.4,38,24,22,13,3,38,20,26,8,18,14,52,24,1
294,Clément Lenglet,fr FRA,DF,Tottenham,27,22.4,38,23,18,15,5,34,16,26,11,15,18,56,68,2
295,Bernd Leno,de GER,GK,Fulham,30,36.0,0,0,0,0,0,3,0,0,0,0,0,0,18,1
296,Jefferson Lerma,co COL,MF,Bournemouth,27,36.1,50,30,23,23,4,45,20,32,15,17,47,97,91,2
297,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Rico Lewis,eng ENG,"DF,MF",Manchester City,17,10.0,16,9,9,5,2,11,6,8,4,4,6,22,13,1
299,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,3.6,1,0,0,1,0,0,0,5,1,4,0,1,2,0
300,Victor Lindelöf,se SWE,DF,Manchester Utd,28,15.2,22,17,10,9,3,17,9,18,9,9,21,43,63,1
301,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,10.3,4,4,2,2,0,7,1,11,0,11,5,9,4,0
302,Valentino Livramento,eng ENG,"DF,FW",Southampton,19,0.3,2,1,2,0,0,0,0,0,0,0,2,4,3,0
303,Diego Llorente,es ESP,DF,Leeds United,28,7.2,13,10,8,5,0,8,4,6,2,4,15,28,24,2
304,Hugo Lloris,fr FRA,GK,Tottenham,35,24.5,1,1,1,0,0,3,1,0,0,0,1,2,13,5
305,Renan Lodi,br BRA,DF,Nott'ham Forest,24,24.6,52,39,38,8,6,66,33,25,6,19,33,85,74,0
306,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26,17.1,25,14,8,14,3,22,12,15,2,13,12,37,23,0
307,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,28.0,42,21,16,20,6,52,20,35,8,27,16,58,23,0
308,Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Douglas Luiz,br BRA,MF,Aston Villa,24,32.5,73,42,31,32,10,63,30,36,7,29,40,113,27,2
310,Saša Lukić,rs SRB,MF,Fulham,25,4.6,8,3,1,4,3,7,3,6,2,4,5,13,3,0
311,Lyanco,br BRA,DF,Southampton,25,13.1,24,16,15,9,0,18,12,30,25,5,20,44,65,2
312,Alexis Mac Allister,ar ARG,MF,Brighton,23,32.1,70,39,22,40,8,71,34,26,2,24,22,92,10,1
313,James Maddison,eng ENG,"MF,FW",Leicester City,25,27.6,51,26,25,19,7,50,19,19,1,18,13,64,6,1
314,Noni Madueke,eng ENG,FW,Chelsea,20,7.1,12,8,5,4,3,13,6,13,2,11,4,16,7,0
315,Harry Maguire,eng ENG,DF,Manchester Utd,29,8.5,8,6,6,1,1,5,4,18,11,7,13,21,41,0
316,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,21.3,30,14,8,13,9,39,13,27,1,26,9,39,5,0
317,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
318,Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24,15.6,45,24,23,18,4,44,28,28,7,21,22,67,45,1
319,Tyrell Malacia,nl NED,DF,Manchester Utd,22,15.5,46,33,33,12,1,25,14,13,3,10,25,71,49,0
320,Orel Mangala,be BEL,MF,Nott'ham Forest,24,17.2,28,20,16,10,2,29,12,21,7,14,23,51,15,0
321,Javier Manquillo,es ESP,DF,Newcastle Utd,28,0.4,3,2,2,1,0,2,2,1,0,1,1,4,1,0
322,Sekou Mara,fr FRA,"FW,MF",Southampton,20,6.2,14,10,5,8,1,9,3,11,0,11,1,15,5,0
323,Solly March,eng ENG,"FW,DF",Brighton,28,30.2,53,31,16,17,20,28,8,34,3,31,24,77,32,0
324,Emiliano Marcondes,dk DEN,MF,Bournemouth,27,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
325,Marquinhos,br BRA,MF,Arsenal,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Anthony Martial,fr FRA,FW,Manchester Utd,26,10.9,5,3,0,2,3,4,1,11,2,9,1,6,4,0
327,Gabriel Martinelli,br BRA,FW,Arsenal,21,31.0,31,18,13,12,6,22,9,24,1,23,9,40,14,0
328,Emiliano Martínez,ar ARG,GK,Aston Villa,29,34.9,0,0,0,0,0,2,0,0,0,0,1,1,23,1
329,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,23.5,54,28,33,18,3,43,30,51,27,24,33,87,103,0
330,Pape Matar Sarr,sn SEN,"MF,FW",Tottenham,19,2.4,7,6,4,2,1,8,4,3,2,1,6,13,6,0
331,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25,8.6,7,1,2,4,1,3,1,3,1,2,3,10,18,0
332,Joël Matip,cm CMR,DF,Liverpool,30,12.1,14,8,12,2,0,23,11,8,3,5,21,35,45,3
333,Neal Maupay,fr FRA,FW,Everton,25,12.4,11,5,3,4,4,4,2,8,0,8,5,16,0,0
334,Kevin Mbabu,ch SUI,"DF,FW",Fulham,27,1.6,3,2,2,1,0,3,1,2,0,2,3,6,3,0
335,Bryan Mbeumo,cm CMR,FW,Brentford,22,32.3,26,18,5,13,8,42,8,24,1,23,13,39,21,0
336,James McArthur,sct SCO,MF,Crystal Palace,34,0.6,1,1,1,0,0,1,1,2,1,1,1,2,2,0
337,Alex McCarthy,eng ENG,GK,Southampton,32,6.0,0,0,0,0,0,1,0,0,0,0,1,1,3,1
338,John McGinn,sct SCO,"MF,FW",Aston Villa,27,29.9,66,36,27,29,10,71,34,43,4,39,24,90,19,0
339,Scott McKenna,sct SCO,DF,Nott'ham Forest,25,17.5,12,7,7,3,2,10,6,20,14,6,12,24,85,1
340,Weston McKennie,us USA,MF,Leeds United,23,16.0,30,13,5,18,7,29,10,22,3,19,22,52,26,0
341,Dwight McNeil,eng ENG,"FW,MF",Everton,22,27.8,64,41,35,14,15,62,27,46,7,39,31,95,41,0
342,Scott McTominay,sct SCO,MF,Manchester Utd,25,12.9,32,19,16,10,6,22,13,15,6,9,14,46,45,1
343,Ben Mee,eng ENG,DF,Brentford,32,36.3,45,24,28,13,4,37,20,54,42,12,48,93,122,2
344,Edouard Mendy,sn SEN,GK,Chelsea,30,9.5,0,0,0,0,0,0,0,0,0,0,0,0,3,3
345,Nampalys Mendy,sn SEN,MF,Leicester City,30,8.4,13,9,7,6,0,15,8,20,4,16,13,26,2,0
346,Chris Mepham,wls WAL,DF,Bournemouth,24,24.4,45,22,37,8,0,30,19,40,27,13,30,75,152,0
347,Illan Meslier,fr FRA,GK,Leeds United,22,34.0,2,1,2,0,0,4,2,0,0,0,1,3,30,3
348,Alex Mighten,eng ENG,FW,Nott'ham Forest,20,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
349,Lewis Miley,eng ENG,MF,Newcastle Utd,16,0.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
350,Luka Milivojević,rs SRB,MF,Crystal Palace,31,5.7,13,7,7,4,2,10,7,13,4,9,12,25,10,1
351,James Milner,eng ENG,"MF,DF",Liverpool,36,10.1,26,16,11,11,4,34,15,14,2,12,12,38,15,0
352,Yerry Mina,co COL,DF,Everton,27,6.6,15,8,9,6,0,11,9,7,4,3,6,21,28,0
353,Tyrone Mings,eng ENG,DF,Aston Villa,29,35.0,15,7,10,5,0,20,9,40,21,19,54,69,163,2
354,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22,32.1,71,49,43,23,5,53,30,48,11,37,42,113,78,0
355,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,25,25.8,44,27,15,16,13,41,20,25,0,25,17,61,10,0
356,Aleksandar Mitrović,rs SRB,FW,Fulham,27,22.3,14,7,8,4,2,12,5,22,5,17,3,17,20,1
357,Kieffer Moore,wls WAL,FW,Bournemouth,29,14.2,14,11,2,9,3,16,5,12,5,7,1,15,26,0
358,Andrew Moran,ie IRL,FW,Brighton,18,0.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
359,Álex Moreno,es ESP,DF,Aston Villa,29,14.8,23,14,15,5,3,36,13,18,3,15,7,30,37,2
360,Mason Mount,eng ENG,"MF,FW",Chelsea,23,18.3,33,19,6,16,11,27,14,24,6,18,8,41,9,0
361,Lucas Moura,br BRA,"MF,DF",Tottenham,29,1.7,8,5,1,3,4,4,1,0,0,0,2,10,1,1
362,João Moutinho,pt POR,MF,Wolves,35,19.8,51,30,24,21,6,46,19,22,6,16,18,69,20,0
363,Divin Mubama,eng ENG,FW,West Ham,17,0.4,1,1,1,0,0,0,0,0,0,0,0,1,0,0
364,Mykhailo Mudryk,ua UKR,"FW,MF",Chelsea,21,7.3,11,9,2,4,5,13,4,7,1,6,0,11,3,0
365,Jacob Murphy,eng ENG,FW,Newcastle Utd,27,13.9,15,7,3,8,4,20,8,17,0,17,7,22,3,0
366,Enock Mwepu,zm ZAM,"FW,MF",Brighton,24,2.4,10,5,1,6,3,4,3,3,1,2,1,11,1,0
367,Vitaliy Mykolenko,ua UKR,DF,Everton,23,29.5,58,34,36,19,3,51,28,50,16,34,46,104,99,0
368,Keylor Navas,cr CRC,GK,Nott'ham Forest,35,17.0,0,0,0,0,0,0,0,0,0,0,1,1,11,2
369,Wilfred Ndidi,ng NGA,MF,Leicester City,25,18.7,61,42,34,24,3,43,17,32,14,18,38,99,48,3
370,Reiss Nelson,eng ENG,FW,Arsenal,22,2.4,4,1,2,1,1,4,2,3,0,3,0,4,4,0
371,Neto,br BRA,GK,Bournemouth,33,26.5,3,1,3,0,0,3,3,0,0,0,0,3,10,3
372,Pedro Neto,pt POR,"FW,MF",Wolves,22,10.7,11,6,4,2,5,17,7,5,1,4,4,15,4,0
373,Rúben Neves,pt POR,MF,Wolves,25,33.5,79,43,31,33,15,74,32,59,22,37,50,129,85,1
374,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,26,12.9,18,9,15,3,0,22,11,18,8,10,19,37,60,0
375,Rasmus Nissen,dk DEN,DF,Leeds United,25,21.8,62,35,35,21,6,76,42,32,14,18,35,97,61,0
376,Eddie Nketiah,eng ENG,FW,Arsenal,23,12.1,13,9,6,2,5,10,2,7,1,6,1,14,7,0
377,Matheus Nunes,pt POR,MF,Wolves,23,27.4,67,43,36,22,9,61,28,35,4,31,16,83,35,2
378,Darwin Núñez,uy URU,FW,Liverpool,23,18.8,11,5,2,4,5,17,4,10,0,10,3,14,13,0
379,Ethan Nwaneri,eng ENG,FW,Arsenal,15,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
380,Christian Nørgaard,dk DEN,MF,Brentford,28,19.6,52,30,21,29,2,48,18,32,9,23,34,86,41,2
381,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,6.5,16,9,4,11,1,12,6,13,2,11,5,21,9,0
382,Odeluga Offiah,eng ENG,DF,Brighton,19,0.3,1,1,1,0,0,2,0,0,0,0,0,1,1,0
383,Angelo Ogbonna,it ITA,DF,West Ham,34,13.7,11,4,7,4,0,10,5,11,7,4,17,28,74,1
384,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,30.5,58,34,28,26,4,60,25,46,1,45,26,84,17,0
385,Robin Olsen,se SWE,GK,Aston Villa,32,3.1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
386,Amadou Onana,be BEL,MF,Everton,20,27.6,72,43,24,42,6,42,30,25,6,19,37,109,39,0
387,Josh Onomah,eng ENG,MF,Fulham,25,0.2,1,0,1,0,0,0,0,1,0,1,0,1,0,0
388,Paul Onuachu,ng NGA,FW,Southampton,28,4.5,3,2,1,1,1,3,1,4,1,3,0,3,4,0
389,Frank Onyeka,ng NGA,MF,Brentford,24,9.4,19,14,11,7,1,25,10,16,3,13,10,29,16,0
390,Mislav Oršić,hr CRO,MF,Southampton,29,0.1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
391,Stefan Ortega,de GER,GK,Manchester City,29,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20,13.8,28,15,20,6,2,32,13,20,3,17,13,41,29,1
393,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,3.7,5,4,1,2,2,5,1,5,2,3,1,6,4,0
394,David Ozoh,eng ENG,FW,Crystal Palace,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,João Palhinha,pt POR,MF,Fulham,27,34.5,148,83,59,65,24,135,71,48,5,43,46,194,61,2
396,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,4.1,5,1,0,3,2,5,3,2,1,1,1,6,2,0
397,Emerson Palmieri,it ITA,DF,West Ham,27,14.7,26,14,9,15,2,24,12,17,4,13,15,41,36,0
398,Lucas Paquetá,br BRA,MF,West Ham,24,23.9,71,53,23,36,12,67,27,41,4,37,16,87,31,0
399,Thomas Partey,gh GHA,MF,Arsenal,29,27.6,70,40,20,35,15,52,25,26,5,21,28,98,41,1
400,Nathan Patterson,sct SCO,"DF,MF",Everton,20,14.2,49,24,32,13,4,53,29,24,4,20,15,64,45,0
401,Ben Pearson,eng ENG,MF,Bournemouth,27,3.2,7,3,3,3,1,3,1,4,0,4,2,9,6,0
402,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,0.7,1,1,0,1,0,0,0,0,0,0,0,1,3,0
403,Andreas Pereira,br BRA,MF,Fulham,26,29.9,18,9,3,6,9,33,8,21,3,18,6,24,8,0
404,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,5.0,11,7,8,3,0,17,7,8,2,6,4,15,20,0
405,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,4.2,11,8,5,4,2,19,8,6,0,6,2,13,3,0
406,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,23.4,42,24,25,10,7,47,27,29,7,22,22,64,49,1
407,Romain Perraud,fr FRA,DF,Southampton,24,20.4,54,33,23,23,8,52,28,24,6,18,20,74,42,0
408,Máximo Perrone,ar ARG,MF,Manchester City,19,0.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
409,Cameron Peupion,au AUS,MF,Brighton,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Kalvin Phillips,eng ENG,MF,Manchester City,26,3.3,6,4,3,3,0,10,2,7,3,4,5,11,10,0
411,Nathaniel Phillips,eng ENG,DF,Liverpool,25,0.7,2,1,0,2,0,2,2,0,0,0,2,4,1,0
412,Jordan Pickford,eng ENG,GK,Everton,28,37.0,0,0,0,0,0,1,0,0,0,0,4,4,15,3
413,Ethan Pinnock,jm JAM,DF,Brentford,29,30.0,52,28,33,12,7,24,18,41,31,10,35,87,215,2
414,Daniel Podence,pt POR,"FW,MF",Wolves,26,19.7,27,17,13,9,5,31,6,19,0,19,7,34,6,0
415,Nick Pope,eng ENG,GK,Newcastle Utd,30,36.2,1,0,1,0,0,3,1,0,0,0,0,1,27,2
416,Pedro Porro,es ESP,"DF,MF",Tottenham,22,12.6,25,16,8,15,2,39,14,25,2,23,15,40,24,1
417,Dennis Praet,be BEL,"MF,FW",Leicester City,28,7.2,12,9,5,6,1,11,6,12,2,10,5,17,6,0
418,Isaac Price,nir NIR,MF,Everton,18,0.4,0,0,0,0,0,1,0,1,1,0,0,0,0,0
419,Christian Pulisic,us USA,"FW,DF",Chelsea,23,9.1,11,6,3,6,2,5,3,8,1,7,4,15,4,0
420,Aaron Ramsdale,eng ENG,GK,Arsenal,24,38.0,1,1,1,0,0,1,1,0,0,0,0,1,20,6
421,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,29.3,69,39,23,35,11,69,32,48,8,40,23,92,34,0
422,Marcus Rashford,eng ENG,FW,Manchester Utd,24,32.0,20,10,7,8,5,24,9,31,4,27,7,27,14,0
423,David Raya,es ESP,GK,Brentford,26,38.0,0,0,0,0,0,2,0,1,0,1,1,1,10,3
424,Tim Ream,us USA,DF,Fulham,34,32.2,30,16,15,12,3,26,13,45,24,21,41,71,116,3
425,Nathan Redmond,eng ENG,DF,Southampton,28,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Harrison Reed,eng ENG,MF,Fulham,27,31.8,44,27,17,21,6,51,16,54,12,42,19,63,36,0
427,Bobby Reid,jm JAM,"FW,DF",Fulham,29,27.5,42,24,14,14,14,36,16,25,3,22,20,62,28,1
428,Declan Rice,eng ENG,MF,West Ham,23,36.4,79,38,44,31,4,50,31,45,15,30,63,142,58,0
429,Chris Richards,us USA,DF,Crystal Palace,22,5.0,9,6,8,1,0,7,5,10,1,9,8,17,31,0
430,Richarlison,br BRA,"MF,FW",Tottenham,25,11.2,21,16,13,5,3,27,12,14,1,13,5,26,10,0
431,Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,25,0.7,2,1,2,0,0,1,0,2,0,2,0,2,4,0
432,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,0.4,1,1,0,1,0,3,1,0,0,0,1,2,0,0
433,Andrew Robertson,sct SCO,DF,Liverpool,28,28.7,38,21,12,16,10,41,21,32,5,27,18,56,50,3
434,Antonee Robinson,us USA,DF,Fulham,24,34.3,62,38,43,15,4,65,44,49,13,36,53,115,83,3
435,Joel Robles,es ESP,GK,Leeds United,32,4.0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
436,Marc Roca,es ESP,MF,Leeds United,25,25.7,66,40,27,34,5,65,20,34,10,24,23,89,24,2
437,Marek Rodák,sk SVK,GK,Fulham,25,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
438,Rodri,es ESP,MF,Manchester City,26,32.3,67,41,28,28,11,53,26,40,14,26,33,100,43,1
439,Rodrigo,es ESP,"FW,MF",Leeds United,31,21.5,24,10,2,15,7,19,8,16,4,12,6,30,21,1
440,Mads Roerslev,dk DEN,DF,Brentford,23,12.3,22,12,19,3,0,33,16,14,5,9,9,31,38,0
441,Cristian Romero,ar ARG,DF,Tottenham,24,26.3,68,36,42,24,2,46,29,40,18,22,44,112,102,3
442,Oriol Romeu,es ESP,MF,Southampton,30,0.8,1,0,0,1,0,0,0,1,0,1,1,2,1,0
